Back,Back
Reset,Reset
Save,Save
Attributes,Attributes
Change,Change
Installed,Installed
"Specify Mass Product Actions settings properly. See more details <a href=""%1"" target=""_blank"">here</a>","Specify Mass Product Actions settings properly. See more details <a href=""%1"" target=""_blank"">here</a>"
"Not Installed","Not Installed"
"Increase the efficiency of the catalogue management. Change prices, manage attribute sets and categories, spread custom options and images, and related products. Apply bulk modifications to multiple products and tweak the actions menu to display only required actions. See more details <a target=""_blank"" href=""' . . '"">here</a>","Increase the efficiency of the catalogue management. Change prices, manage attribute sets and categories, spread custom options and images, and related products. Apply bulk modifications to multiple products and tweak the actions menu to display only required actions. See more details <a target=""_blank"" href=""' . . '"">here</a>"
"There is no sample file for this entity.","There is no sample file for this entity."
"Import tracking numbers","Import tracking numbers"
"Please select orders for attributes update.","Please select orders for attributes update."
"Update Attributes","Update Attributes"
"The attributes for next order: %1 have not been updated.","The attributes for next order: %1 have not been updated."
"The attributes for next order: %1 have been updated.","The attributes for next order: %1 have been updated."
"'An error occurred while updating the order attributes: ' .","'An error occurred while updating the order attributes: ' ."
"Something went wrong while updating the product(s) attributes.","Something went wrong while updating the product(s) attributes."
"Something went wrong.","Something went wrong."
"Can not update order #%1: %2","Can not update order #%1: %2"
"Total of %1 order(s) have been successfully updated.","Total of %1 order(s) have been successfully updated."
"Invoice created","Invoice created"
"Can not send the invoice email for invoice %1: %2","Can not send the invoice email for invoice %1: %2"
"Can not invoice order #%1: %2","Can not invoice order #%1: %2"
"Total of %1 order(s) has been successfully invoiced.","Total of %1 order(s) has been successfully invoiced."
"The order no longer exists.","The order no longer exists."
"The order does not allow an invoice to be created.","The order does not allow an invoice to be created."
"Can not save the invoice right now.","Can not save the invoice right now."
"You can not create an invoice without products.","You can not create an invoice without products."
"There are no printable documents related to selected orders.","There are no printable documents related to selected orders."
"Total of %1 item(s) has been successfully processed.","Total of %1 item(s) has been successfully processed."
"The packing slip can't be printed for the order ""%1"".","The packing slip can't be printed for the order ""%1""."
"Can not send the tracking information for shipment %1, please check the error at the log file","Can not send the tracking information for shipment %1, please check the error at the log file"
"Tracking information has been successfully sent for %1 of %2 shipments","Tracking information has been successfully sent for %1 of %2 shipments"
"Shipment created","Shipment created"
"We can't save the shipment right now.","We can't save the shipment right now."
"Can not ship order #%1: %2","Can not ship order #%1: %2"
"Total of %1 order(s) have been successfully shipped.","Total of %1 order(s) have been successfully shipped."
"Selected status does not correspond to the state of order.","Selected status does not correspond to the state of order."
Products,Products
Qty,Qty
SKU,SKU
"%1 module is not exist.","%1 module is not exist."
"Do not need a tracking info","Do not need a tracking info"
Custom,Custom
Invoice,Invoice
"Invoice > Ship","Invoice > Ship"
Ship,Ship
"Change Status","Change Status"
"Change Status and Notify","Change Status and Notify"
"Add Comment","Add Comment"
"Send Tracking Information","Send Tracking Information"
"Print Packing Slips","Print Packing Slips"
"Update Order Attributes","Update Order Attributes"
Add/Update,Add/Update
Delete,Delete
"Do not request Capture Case","Do not request Capture Case"
"Capture Online","Capture Online"
"Capture Offline","Capture Offline"
"Magento Default","Magento Default"
"Magento default","Magento default"
Carrier:,Carrier:
Title:,Title:
"Tracking Number","Tracking Number"
"Tracking Number:","Tracking Number:"
"Shipment is already created.","Shipment is already created."
"The Order can not be transferred to the Shipment.","The Order can not be transferred to the Shipment."
"Order is canceled.","Order is canceled."
Apply,Apply
"Select Items","Select Items"
Actions,Actions
"Please make the Shipping column visible.","Please make the Shipping column visible."
"Please fill the Tracking Number where you selected Carrier.","Please fill the Tracking Number where you selected Carrier."
"Mass Order Actions","Mass Order Actions"
General,General
"Enabled Actions","Enabled Actions"
"Press CTRL+ left mouse button to select multiple values. To use ""Update Order Attributes"" action please install Amasty Order Attributes extension v2.2.0 or higher","Press CTRL+ left mouse button to select multiple values. To use ""Update Order Attributes"" action please install Amasty Order Attributes extension v2.2.0 or higher"
"Invoice Action","Invoice Action"
"Assign Status","Assign Status"
"Print Invoices","Print Invoices"
"Requested Payment Capture Case","Requested Payment Capture Case"
"Default Payment Capture Case for Invoicing Orders","Default Payment Capture Case for Invoicing Orders"
"Ship Action","Ship Action"
"Default Carrier","Default Carrier"
"Will be pre-selected at the orders grid.","Will be pre-selected at the orders grid."
"Default Title for Custom Carrier","Default Title for Custom Carrier"
"Show Custom Carrier Title at the Order Grid","Show Custom Carrier Title at the Order Grid"
Status,Status
"Check State","Check State"
"Disallow to set status, which assigned to other state.","Disallow to set status, which assigned to other state."
"Excluded options for the 'Change status' action","Excluded options for the 'Change status' action"
"Do not select any statuses to make all options available on the Order grid.","Do not select any statuses to make all options available on the Order grid."
"Mass Product Actions","Mass Product Actions"
-------------------,-------------------
"Notify Customer","Notify Customer"
"Do Not Notify Customer","Do Not Notify Customer"
"Change status to: ","Change status to: "
"Change Status for selected orders?","Change Status for selected orders?"
"Change Status And Notify","Change Status And Notify"
Comment,Comment
"Change status to:","Change status to:"
"Change status","Change status"
"Change status for selected orders and notify customers?","Change status for selected orders and notify customers?"
"Are you sure you want to add comment?","Are you sure you want to add comment?"
"Send Tracking Information for selected orders?","Send Tracking Information for selected orders?"
"Update Order Attributes for selected items?","Update Order Attributes for selected items?"
Shipping,Shipping
